target,text
pmb336027,Berkeley Lyceum New York
pmb336030,Blancheteatern Stockholm
pmb336034,Casino Teatret Kopenhagen
pmb336037,Centraal Theater Amsterdam
pmb336042,Deutsches Theater Bremen
pmb336046,Deutsches Theater New York
pmb336051,Greenwich Village Theatre New York
pmb336056,Kammerspiele Dresden
pmb336058,Kammerspiele Nürnberg
pmb336060,Király szinház Budapest
pmb336063,Kur- und Stadttheater Bad Kolberg
pmb336068,Kurtheater Bad Charlottenbrunn
pmb336071,Lexington Avenue Theatre New York
pmb336075,Little Theatre Chicago
pmb336077,Pabst-Theater Milwaukee
pmb336116,Puppentheater Frankfurt
pmb336080,Residenztheater Weimar
pmb336082,Revoluční scéna Prag
pmb336120,Rheinische Schaubühne (wohl irrtümlich genannt)
pmb336086,Rotter-Bühnen Berlin
pmb336090,Teatro de Cámara Buenos Aires
pmb336095,Theater der Deutschen Bühne Berlin
pmb336098,Théâtre Pitoëff Genf
pmb336102,Vereinigte Städtische Theater Kattowitz
pmb336105,Volkstheater Königshütte
pmb336110,Yiddish theater New York
10086050-3,Schauspielschule Berlin
10139779-3,Dagmarteatret Kopenhagen
1023075059,Kleines Schauspielhaus Berlin
1023752468,Strassburger Stadttheater
1025148-0,Stadttheater Regensburg
102864054,Everyman Theatre Cheltenham
10347189-3,Stadttheater Preßburg
10358564-3,Städtische Bühnen Graz
1086767861,Neues Theater München
1130185508,Teatro d'Arte di Roma
116328-0,Badisches Landestheater Karlsruhe
117308-X,Stadttheater Nürnberg
121071-3,Königsberger Stadttheater
1215174-9,Det Kongelige Teater Kopenhagen
121822-0,Preußisches Staatstheater Kassel
122771-3,Städtische Theater Kiel
1231430-4,Königliches Deutsches Landestheater Prag
1235081362,Stadttheater Schweidnitz
123897-8,Schauspielhaus Hannover
1242764-0,Stavovské divadlo Prag
1252345240,Saltenburg-Bühnen Berlin
1254698892,Kaiserliches deutsches Hoftheater zu St. Petersburg
16050750-9,Incorporated Stage Society
16100663-2,Residenz-Theater Köln
16343427-X,Breslauer Stadttheater
1800987-6,Birmingham Repertory Theatre
2079707-2,Stadttheater Koblenz
216498-X,Vereinigte Stadttheater Köln
217619-1,Stadttheater Bonn
253997-4,Großherzogliches Hoftheater Weimar
301714-X,Stuttgarter Schauspielhaus
3025935-6,Großherzogliches Hoftheater Darmstadt
3051217-7,Nationaltheatret Oslo (Kristiania)
4028218-1,Nationaltheater Prag
4270704-3,Volksbühne Chemnitz
44467-4,Münchner Schauspielhaus
44684-1,Tribüne Berlin
4562254-1,Koninklijke Schouwburg Den Haag
46022-9,Schillertheater Altona (Hamburg)
5010294-1,Stadttheater Heidelberg (Heidelberger Schlossfestspiele)
5038293-7,Schauspielhaus Köln
507005-5,Stadttheater Gießen
507255-4,Schauspielhaus Bremen
5129244-0,Elberfelder Stadttheater
5179068-3,Neustädter Schauspielhaus (Dresden)
5193996-4,Preußische Staatstheater Berlin
5211222-6,Stadttheater Krefeld
5351697-7,Stadttheater Chemnitz
62532-2,Neue Freie Volksbühne Berlin
62978-9,Neues Schauspielhaus Königsberg
63304-5,Königlich Württembergisches Hof-Theater Stuttgart
63321-5,Stadttheater Görlitz
65648-3,Großherzogliches Hoftheater zu Karlsruhe
7590354-4,Lessing-Theater Berlin
7626923-1,Residenztheater Wiesbaden
7628824-9,Residenztheater Hannover
7632752-8,New Theatre New York
7638118-3,Frankfurter Komödienhaus
7659602-3,Hebbeltheater (Theater in der Königgrätzer Straße) Berlin
801301-9,Schauspielhaus Graz
