pmb,target,text,,
336027,,Berkeley Lyceum New York,,
336030,,Blancheteatern Stockholm,,
336034,,Casino Teatret Kopenhagen,,
336037,,Centraal Theater Amsterdam,,
336042,,Deutsches Theater Bremen,,
336046,,Deutsches Theater New York,,
336051,,Greenwich Village Theatre New York,,
336056,,Kammerspiele Dresden,,
336058,,Kammerspiele Nürnberg,,
336060,,Király szinház Budapest,,
336063,,Kur- und Stadttheater Bad Kolberg,,
336068,,Kurtheater Bad Charlottenbrunn,,
336071,,Lexington Avenue Theatre New York,,
336075,,Little Theatre Chicago,,
336077,,Pabst-Theater Milwaukee,,
336116,,Puppentheater Frankfurt,,
336080,,Residenztheater Weimar,,
336082,,Revoluční scéna Prag,,
336120,,Rheinische Schaubühne (wohl irrtümlich genannt),,
336086,,Rotter-Bühnen Berlin,,
336090,,Teatro de Cámara Buenos Aires,,
336095,,Theater der Deutschen Bühne Berlin,,
336098,,Théâtre Pitoëff Genf,,
336102,,Vereinigte Städtische Theater Kattowitz,,
336105,,Volkstheater Königshütte,,
336110,,Yiddish theater New York,,
335768,10086050-3,Schauspielschule Berlin,,https://d-nb.info/gnd/10086050-3
335771,10139779-3,Dagmarteatret Kopenhagen,,https://d-nb.info/gnd/10139779-3
61824,1023075059,Kleines Schauspielhaus Berlin,,https://d-nb.info/gnd/1023075059
335776,1023752468,Strassburger Stadttheater,,https://d-nb.info/gnd/1023752468
335778,1025148-0,Stadttheater Regensburg,,https://d-nb.info/gnd/1025148-0
335780,102864054,Everyman Theatre Cheltenham,,https://d-nb.info/gnd/102864054
335785,10347189-3,Stadttheater Preßburg,,https://d-nb.info/gnd/10347189-3
335787,10358564-3,Städtische Bühnen Graz,,https://d-nb.info/gnd/10358564-3
335789,1086767861,Neues Theater München,,https://d-nb.info/gnd/1086767861
335683,1130185508,Teatro d'Arte di Roma,,https://d-nb.info/gnd/1130185508
335791,116328-0,Badisches Landestheater Karlsruhe,,https://d-nb.info/gnd/116328-0
335792,117308-X,Stadttheater Nürnberg,,https://d-nb.info/gnd/117308-X
335795,121071-3,Königsberger Stadttheater,,https://d-nb.info/gnd/121071-3
1079,1215174-9,Det Kongelige Teater Kopenhagen,,https://d-nb.info/gnd/1215174-9
335799,121822-0,Preußisches Staatstheater Kassel,,https://d-nb.info/gnd/121822-0
335801,122771-3,Städtische Theater Kiel,,https://d-nb.info/gnd/122771-3
298754,1231430-4,Königliches Deutsches Landestheater Prag,,https://d-nb.info/gnd/1231430-4
335804,1235081362,Stadttheater Schweidnitz,,https://d-nb.info/gnd/1235081362
335805,123897-8,Schauspielhaus Hannover,,https://d-nb.info/gnd/123897-8
298754,1242764-0,Stavovské divadlo Prag,,https://d-nb.info/gnd/1242764-0
335808,1252345240,Saltenburg-Bühnen Berlin,,https://d-nb.info/gnd/1252345240
335810,1254698892,Kaiserliches deutsches Hoftheater zu St. Petersburg,,https://d-nb.info/gnd/1254698892
335812,16050750-9,Incorporated Stage Society,,https://d-nb.info/gnd/16050750-9
335813,16100663-2,Residenz-Theater Köln,,https://d-nb.info/gnd/16100663-2
335819,16343427-X,Breslauer Stadttheater,,https://d-nb.info/gnd/16343427-X
336024,1800987-6,Birmingham Repertory Theatre,,https://d-nb.info/gnd/1800987-6
336126,2079707-2,Stadttheater Koblenz,,https://d-nb.info/gnd/2079707-2
336128,216498-X,Vereinigte Stadttheater Köln,,https://d-nb.info/gnd/216498-X
336130,217619-1,Stadttheater Bonn,,https://d-nb.info/gnd/217619-1
336133,253997-4,Großherzogliches Hoftheater Weimar,,https://d-nb.info/gnd/253997-4
336137,301714-X,Stuttgarter Schauspielhaus,,https://d-nb.info/gnd/301714-X
336139,3025935-6,Großherzogliches Hoftheater Darmstadt,,https://d-nb.info/gnd/3025935-6
336143,3051217-7,Nationaltheatret Oslo (Kristiania),,https://d-nb.info/gnd/3051217-7
336146,4028218-1,Nationaltheater Prag,,https://d-nb.info/gnd/4028218-1
336153,4270704-3,Volksbühne Chemnitz,,https://d-nb.info/gnd/4270704-3
47085,44467-4,Münchner Schauspielhaus,,https://d-nb.info/gnd/44467-4
1058,44684-1,Tribüne Berlin,,https://d-nb.info/gnd/44684-1
336142,4562254-1,Koninklijke Schouwburg Den Haag,,https://d-nb.info/gnd/4562254-1
336132,46022-9,Schillertheater Altona (Hamburg),,https://d-nb.info/gnd/46022-9
336118,5010294-1,Stadttheater Heidelberg (Heidelberger Schlossfestspiele),,https://d-nb.info/gnd/5010294-1
336115,5038293-7,Schauspielhaus Köln,,https://d-nb.info/gnd/5038293-7
336122,507005-5,Stadttheater Gießen,,https://d-nb.info/gnd/507005-5
336113,507255-4,Schauspielhaus Bremen,,https://d-nb.info/gnd/507255-4
336109,5129244-0,Elberfelder Stadttheater,,https://d-nb.info/gnd/5129244-0
336106,5179068-3,Neustädter Schauspielhaus (Dresden),,https://d-nb.info/gnd/5179068-3
336100,5193996-4,Preußische Staatstheater Berlin,,https://d-nb.info/gnd/5193996-4
336097,5211222-6,Stadttheater Krefeld,,https://d-nb.info/gnd/5211222-6
148292,5351697-7,Stadttheater Chemnitz,,https://d-nb.info/gnd/5351697-7
336084,62532-2,Neue Freie Volksbühne Berlin,,https://d-nb.info/gnd/62532-2
336074,62978-9,Neues Schauspielhaus Königsberg,,https://d-nb.info/gnd/62978-9
336070,63304-5,Königlich Württembergisches Hof-Theater Stuttgart,,https://d-nb.info/gnd/63304-5
336066,63321-5,Stadttheater Görlitz,,https://d-nb.info/gnd/63321-5
336062,65648-3,Großherzogliches Hoftheater zu Karlsruhe,,https://d-nb.info/gnd/65648-3
35053,7590354-4,Lessing-Theater Berlin,,https://d-nb.info/gnd/7590354-4
336049,7626923-1,Residenztheater Wiesbaden,,https://d-nb.info/gnd/7626923-1
336045,7628824-9,Residenztheater Hannover,,https://d-nb.info/gnd/7628824-9
336041,7632752-8,New Theatre New York,,https://d-nb.info/gnd/7632752-8
336038,7638118-3,Frankfurter Komödienhaus,,https://d-nb.info/gnd/7638118-3
336033,7659602-3,Hebbeltheater (Theater in der Königgrätzer Straße) Berlin,,https://d-nb.info/gnd/7659602-3
336028,801301-9,Schauspielhaus Graz,,https://d-nb.info/gnd/801301-9
