datei,gnd_id,gnd_url,name
sf_10062.xml,5193995-2,https://d-nb.info/gnd/5193995-2,"Frankenstein & Wagner (Leipzig)"
sf_10071.xml,1124841997,https://d-nb.info/gnd/1124841997,"Freyhoff's Buchdruckerei (Nauen)"
sf_10091.xml,1232851787,https://d-nb.info/gnd/1232851787,"Buchdruckerei Roitzsch"
sf_10163.xml,10156235-4,https://d-nb.info/gnd/10156235-4,"Theaterverlag Eirich (Wien)"
sf_10197.xml,35742-X,https://d-nb.info/gnd/35742-X,"Velhagen & Klasing (Leipzig)"
sf_10207.xml,5260685-5,https://d-nb.info/gnd/5260685-5,"Offizin W. Drugulin"
sf_10221.xml,1335116249,https://d-nb.info/gnd/1335116249,"Hans Bondy (Berlin)"
sf_10231.xml,16344373-7,https://d-nb.info/gnd/16344373-7,"Buchhandlung Carl Fr. Fleischer (Leipzig)"
sf_10294.xml,1073083527,https://d-nb.info/gnd/1073083527,"G. Szelinski & Co. (Buchhandel, Wien)"
sf_10298.xml,1023843110,https://d-nb.info/gnd/1023843110,"Globus-Verlag (Berlin)"
sf_10333.xml,31430-4,https://d-nb.info/gnd/31430-4,"Albert Bonniers Förlag (Stockholm)"
sf_10376.xml,1073077691,https://d-nb.info/gnd/1073077691,"Hugo Gebers Förlag (Stockholm)"
sf_10402.xml,5306734-4,https://d-nb.info/gnd/5306734-4,"Julius-Bard-Verlag für Literatur und Kunst (Berlin)"
sf_10420.xml,1086197003,https://d-nb.info/gnd/1086197003,"Brown Brothers & Company (New York)"
sf_10422.xml,1072931206,https://d-nb.info/gnd/1072931206,"I. Ladyschnikow Verlag (Berlin)"
sf_10424.xml,1072993287,https://d-nb.info/gnd/1072993287,"Meyer & Jessen (Berlin, München)"
sf_10483.xml,1072959488,https://d-nb.info/gnd/1072959488,"Friese & Lang (Buchhandel, Wien)"
sf_10486.xml,2007813-4,https://d-nb.info/gnd/2007813-4,"Deutsche Buch-Gemeinschaft"
sf_10497.xml,128103-3,https://d-nb.info/gnd/128103-3,"Deutscher Verlegerverein"
sf_10506.xml,5155469-0,https://d-nb.info/gnd/5155469-0,"Hugo Baruch & Cie., Hoflieferanten (Berlin)"
sf_10506.xml,1025155343,https://d-nb.info/gnd/1025155343,"Shubert Organisation (New York)"
sf_10532.xml,1327992701,https://d-nb.info/gnd/1327992701,"Allgemeiner Schriftstellerverein"
sf_10534.xml,63980-1,https://d-nb.info/gnd/63980-1,"Deutsche Bank (Berlin)"
sf_10559.xml,114278-1,https://d-nb.info/gnd/114278-1,"Deutscher Lyceum-Club (Berlin)"
sf_10573.xml,62025-7,https://d-nb.info/gnd/62025-7,"Gesellschaft für Bühnenkunst"
sf_10586.xml,4707152-7,https://d-nb.info/gnd/4707152-7,"Alphons Dürr (Leipzig)"
