nachname,vorname,beruf,ort,original
??lkner,,Theaterdirektor,,??lkner (Theaterdirektor)
Achard,Marcel,,,"Achard, Marcel"
Aldis,Mary,,,"Aldis, Mary"
Alennius,Linnea,Übersetzerin,Schweden,"Alennius, Linnea (Übersetzerin, Schweden)"
Allan,Grant,Theaterleiter,England,"Allan, Grant (Theaterleiter, England)"
Althoff,Paul,,,"Althoff, Paul"
Ames,Winthrop,,,"Ames, Winthrop"
Araquistáin,Luis,,,"Araquistáin, Luis"
Bartsch,Augustin,Buchhändler,Wien,"Bartsch, Augustin (Buchhändler, Wien)"
Bauer,Olla,,,"Bauer, Olla"
Baumfeld,Maurice,,,"Baumfeld, Maurice"
Beer,Mathilde,,,"Beer, Mathilde"
Behrend,Max,,,"Behrend, Max"
Beisser,Andreas,Kopenhagen,,"Beisser, Andreas (Kopenhagen)"
Benson,Arthur Christopher,,,"Benson, Arthur Christopher"
Bermann,Gottfried,,,"Bermann, Gottfried"
Bernstein,Hermann,,,"Bernstein, Hermann"
Best,Mrs.,Übersetzerin,USA,"Best, Mrs. (Übersetzerin, USA)"
Bianchini,,Mitarbeiter Société des Auteurs,Paris,"Bianchini (Mitarbeiter Société des Auteurs, Paris)"
Bloch,Felix,,,"Bloch, Felix"
Boer,Marguerite de,geb. Perruchon,,"Boer, Marguerite de (geb. Perruchon)"
Bolin,K. J.,Verleger,Stockholm,"Bolin, K. J. (Verleger, Stockholm)"
Bondy,Hans,Verleger,Berlin,"Bondy, Hans (Verleger, Berlin)"
Bonnier,Albert,,,"Bonnier, Albert"
Browne,Edith A.,,,"Browne, Edith A."
Browne,Maurice,,,"Browne, Maurice"
Busse,,Prof.,Literaturagent?,"Busse (Prof., Literaturagent?)"
Břečka,Vojtěch,Übersetzer,Prag,"Břečka, Vojtěch (Übersetzer, Prag)"
Campbell,John Arthur,1878-1947; Birmingham Repertory Theatre,,"Campbell, John Arthur (1878-1947; Birmingham Repertory Theatre)"
Cantoni,Cesare,Verleger/Literaturagent,Italien,"Cantoni, Cesare (Verleger/Literaturagent, Italien)"
Cappelli,Licinio,,,"Cappelli, Licinio"
Cecchini,Giordano,Schauspieler,Italien,"Cecchini, Giordano (Schauspieler, Italien)"
Conroy,,Theaterdirektor,Schauspieler,"Conroy (Theaterdirektor, Schauspieler)"
Corrinth,Curt,,,"Corrinth, Curt"
Cutti,B.,Übersetzer/Literaturagent,Mailand,"Cutti, B. (Übersetzer/Literaturagent, Mailand)"
Dalberg,Camilla,,,"Dalberg, Camilla"
Dampierre,Jacques de,,,"Dampierre, Jacques de"
Dan,Johann,Übersetzer,Dänemark,"Dan, Johann (Übersetzer, Dänemark)"
Dauli,Gian,,,"Dauli, Gian"
Davidson,Paul,,,"Davidson, Paul"
Demetz,Hans,,,"Demetz, Hans"
Dias,Willi,Übersetzer,Triest,"Dias, Willi (Übersetzer, Triest)"
Eduard VII.,König von Großbritannien,,,"Eduard VII., König von Großbritannien"
Ehrhard,,Literaturagent,Vermittler span. Übersetzung,"Ehrhard (Literaturagent, Vermittler span. Übersetzung)"
Entsch,Albert,,,"Entsch, Albert"
Eugen,Robert,,,"Eugen, Robert"
Fangen,Ronald,,,"Fangen, Ronald"
Fangor,Siegmund Oscar,,,"Fangor, Siegmund Oscar"
Fiske,Minnie Maddern,,,"Fiske, Minnie Maddern"
Fleischer,,Inhaber gleichnamiger Verlagsbuchhandlung,,Fleischer (Inhaber gleichnamiger Verlagsbuchhandlung)
Franca,Margherita Prohaska,Übersetzerin,Italien,"Franca, Margherita Prohaska (Übersetzerin, Italien)"
Fred,Alfred W.,,,"Fred, Alfred W."
Friedlaender,Ernst,,,"Friedlaender, Ernst"
Friedmann-Frederich,Fritz,,,"Friedmann-Frederich, Fritz"
